druckort,dbsm_count,location,lat,lon
Schleswig,,"Schleswig, Schleswig-Flensburg, Schleswig-Holstein, 24837, Deutschland",54.51851,9.5653284
Schoonhoven,,"Schoonhoven, Krimpenerwaard, Zuid-Holland, Nederland",51.9463984,4.8516431
Schussenried,,"Bad Schussenried, Verwaltungsgemeinschaft Bad Schussenried, Landkreis Biberach, Baden-Württemberg, 88427, Deutschland",48.0047363,9.6561098
Schwaben(?),,"Schwaben, Deutschland",48.15313125,10.47129100603846
Schweiz,,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
Segorbe,,"Segorbe, l'Alt Palància, Castelló / Castellón, Comunitat Valenciana, 12400, España",39.8519011,-0.4895537
Segovia,,"Segovia, Castilla y León, España",40.9502159,-4.1241494
Sevilla,1.0,"Sevilla, Andalucía, España",37.3886303,-5.9953403
Siena,,Siena,43.318875635573484, 11.329193691954176
Soncino,,"Soncino, Cremona, Lombardia, 26029, Italia",45.3989753,9.8744242
Spanien,,España,39.3260685,-4.8379791
Speyer,25.0,"Speyer, Rheinland-Pfalz, 67346, Deutschland",49.3165553,8.433615
Stendal,,"Stendal, Sachsen-Anhalt, 39576, Deutschland",52.6050782,11.8594279
Stockholm,1.0,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Strassburg,,"Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, France",48.584614,7.7507127
Stuttgart,,"Stuttgart, Baden-Württemberg, Deutschland",48.7784485,9.1800132
Subiaco,2.0,"Subiaco, Roma Capitale, Lazio, 00028, Italia",41.9267153,13.0944317
Sursee,,"Sursee, Luzern, 6210, Schweiz/Suisse/Svizzera/Svizra",47.1740371,8.1089654
Tarragona,,"Tarragona, Tarragonès, Tarragona, Catalunya, 43001, España",41.1172364,1.2546057
Tegernsee,,"Tegernsee, Landkreis Miesbach, Bayern, 83684, Deutschland",47.7099191,11.7543337
Toledo,,"Toledo, Castilla-La Mancha, España",39.8560679,-4.0239568
Torrebelvicino,1.0,"Torrebelvicino, Vicenza, Veneto, 36036, Italia",45.718939,11.3088339
Tortosa,,"Tortosa, Baix Ebre, Tarragona, Catalunya, 43500, España",40.8110158,0.5209333
Toscolano,,"Toscolano, Toscolano Maderno, Comunità Montana Parco Alto Garda bresciano, Brescia, Lombardia, 25088, Italia",45.6450065,10.6167887
Toulouse,,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",43.6044622,1.4442469
Tours,,"Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, France",47.3900474,0.6889268
Tréguier,,"Tréguier, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22220, France",48.784201,-3.2319779
Trevi,,"Trevi, Perugia, Umbria, 06039, Italia",42.8774972,12.7474547
Treviso,5.0,"Treviso, Veneto, Italia",45.806691349999994,12.206315763116372
Trient,,"Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",46.0664228,11.1257601
Trier,,"Trier, Rheinland-Pfalz, Deutschland",49.7596208,6.6441878
Troyes,,"Troyes, Aube, Grand Est, France métropolitaine, 10000, France",48.2971626,4.0746257
Tübingen,,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland",48.5236164,9.0535531
Turin,,"Torino, Piemonte, Italia",45.0677551,7.6824892
Udine,,"Udine, UTI del Friuli Centrale, Friuli-Venezia Giulia, 33100, Italia",46.0634632,13.2358377
Ulm,30.0,"Ulm, Baden-Württemberg, Deutschland",48.3974003,9.9934336
Ungarn,,Magyarország,47.1817585,19.5060937
Urach,,"Urach, Vöhrenbach, Schwarzwald-Baar-Kreis, Baden-Württemberg, 79871, Deutschland",48.0054454,8.2494009
Urbino,,"Urbino, Pesaro e Urbino, Marche, 61029, Italia",43.7262608,12.6363135
Utrecht,2.0,"Utrecht, Nederland",52.080985600000005,5.12768396945229
Uzès,,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France",44.0121279,4.4196718
Vadstena,,"Vadstena kommun, Östergötlands län, Sverige",58.433333,14.783333
Valencia,,"València, Comarca de València, València / Valencia, Comunitat Valenciana, España",39.4697065,-0.3763353
Valenciennes,,"Valenciennes, Nord, Hauts-de-France, France métropolitaine, 59300, France",50.3579317,3.5234846
Valladolid,,"Valladolid, Castilla y León, España",41.6521328,-4.728562
